TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WCMT,WRHR,QMWT,MSGA,MSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WACC,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,VCST,VRWS,WADS4,VCMT1,VCMT2,RDPOS,CPS,DPM,GENLD
0,2250.042236,572.418335,611.4680786,611.4680786,531.2052002,535.5319214,15544.5,15544.5,788.4995117,788.4995117,2146.229248,2146.229248,2146.229248,2146.229248,11177,53.50000381,8.39233E-07,0,0,1113.602417,526.71698,59.99995804,390.8599854,3400,225000,225000,1708.5,1708.5,65,65,100,0,0,652.6446533,0,65.76999664,41.17657471,41.17657471,0,14.69999981,12.95647335,120,1,2.700000048,0.146408841,0,0,0,500,0,0,-0.003041229,0.027609149,0,-0.000528,0.02403992,100,100,2048,2048,2048,611.4680786,0,0,13.22999954,1.099999785,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.99037933,97.98536682,100000000,52.11999893,1133.333374
5,2236.70166,572.5097656,611.2433472,611.2433472,531.6062012,535.946167,15544.50098,15544.50098,785.6852417,785.6852417,2149.711914,2149.711914,2147.999756,2147.999756,11151.58301,52.34468079,-3.05176E-07,444.2734985,0,1114.58313,527.7897949,60.06993484,390.8599854,3429.095947,225008.2656,225008.2656,1690.345825,1690.345825,64.82363892,64.82363892,100.082489,0,0,651.9279785,0,65.51583099,40.68463135,40.68463135,0,14.92103767,13.02385807,123.0146637,1.025594234,2.677090406,0.546090961,444.2734985,0,0,725.4589633,0,0,-0.018509828,0.025289319,-0.012552591,-0.000313995,-0.006087094,99.45719147,100.8557663,2057.688965,2057.688965,2057.688965,611.2433472,0,0,33.07500076,89.58927917,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.89419556,97.99129486,99457192.42,-0.126357406,1134.268311
10,2214.446533,572.7752686,611.6325073,611.6325073,531.7455444,536.0905762,15544.50293,15544.50293,784.6045532,784.6045532,2147.227295,2147.227295,2141.687256,2141.687256,11101.23535,50.05613708,-3.35693E-06,440.9371033,0,1116.474609,527.6781616,60.30630112,390.8599854,3382.282471,225019.2031,225019.2031,1703.760986,1703.760986,65.04790497,65.04790497,99.78836823,0,0,650.5353394,0,65.01235199,38.90283203,38.90283203,0,15.11669731,13.08350563,125.6832123,1.050573587,2.714143991,0.941456914,440.9371033,0,0,1600.000052,0,0,-0.034560394,0.018538291,0.013250501,-0.000313995,-0.003085599,98.16233826,99.47889709,2037.772339,2037.772339,2037.772339,611.6325073,0,0,33.07500076,175.8435822,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.79769897,97.99129486,98162335.16,-0.04422706,1130.934814
15,2190.824463,572.8181763,611.7310791,611.7434082,531.7330322,536.0664673,15584.33008,15574.69238,785.6209717,785.6203613,2142.236084,2142.209717,2115.118652,2114.455811,11042.98242,47.40829468,6.10352E-07,437.940033,0,1118.505615,527.6431885,60.59396744,390.8599854,3347.382568,225112.3281,225113.4844,1700.581665,1700.079834,65.05245972,65.0440979,98.53501129,0,0,648.9664307,0,64.42982483,37.23535156,37.22302246,0,15.28987122,13.13629818,128.045105,1.075040698,2.74733758,1.291557074,437.940033,0,0,1600.000052,0,0,-0.050674897,0.017445229,0.031959828,-0.000313995,-0.001583834,97.59308624,98.45243073,2023.331177,2023.331177,2023.331177,611.7310791,0,0,33.07500076,260.0087585,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.70075989,97.99129486,97593092.92,-0.025649063,1116.730103
20,2166.421143,572.6506958,611.3310547,611.3530884,531.7985229,536.1229248,15664.87793,15644.81836,787.2355957,787.2350464,2136.157471,2136.11499,2100.380371,2099.733154,10982.90234,44.67739868,4.27246E-06,435.0256653,0,1118.714478,527.8690186,60.89582443,390.8599854,3324.972168,225271.2031,225274.4531,1688.655151,1688.159546,65.08288574,65.07588959,97.84866333,0,0,647.3495483,0,63.82902527,36.01849365,35.99645996,0,15.44387054,13.18324375,130.1455078,1.09906435,2.778823376,1.602588892,435.0256653,0,0,1600.000052,0,0,-0.066856384,0.021708537,0.044277567,-0.000313995,-0.001184279,97.19944,97.79329681,2013.823486,2013.823486,2013.823486,611.3310547,0,0,33.07500076,342.2738342,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.60334778,97.99129486,97199440,-0.019578356,1108.951538
25,2140.494141,572.394165,610.6629028,610.6895142,531.9525757,536.274353,15745.94824,15726.12109,788.4993896,788.4989014,2129.315674,2129.253174,2089.550781,2088.920654,10924.75195,42.03417969,0,431.7319031,0,1121.51123,528.166687,61.18686295,390.8599854,3308.125244,225459.6406,225465.1406,1675.428101,1674.944458,65.13143158,65.1251297,97.34448242,0,0,645.6002808,0,63.24752045,34.93737793,34.9107666,0,15.58106041,13.22506523,132.0166321,1.122687578,2.805777311,1.87975049,431.7319031,0,0,1600.000052,0,0,-0.083104402,0.028221974,0.053951215,-0.000313995,-0.001245207,96.77099609,97.29779816,2006.356689,2006.356689,2006.356689,610.6629028,0,0,33.07500076,422.6792908,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.50544739,97.99129486,96770995.86,-0.027362661,1103.237427
30,2115.025146,572.1325073,609.9403076,609.9697876,532.1506348,536.4720459,15827.05273,15807.89648,789.3218384,789.3212891,2121.669678,2121.585205,2079.464844,2078.589844,10869.08594,39.50388336,-5.0354E-06,428.3483887,0,1124.171265,528.4720459,61.46227264,390.8599854,3291.873535,225663.3281,225671.0625,1663.927246,1663.248657,65.18651581,65.18081665,96.86883545,0,0,643.8826294,0,62.69086075,33.94232178,33.9128418,0,15.75836754,13.27083302,134.0643463,1.146873593,2.831345081,2.171348333,428.3483887,0,0,1600.000052,0,0,-0.099416047,0.034844805,0.063464344,-0.000313995,-0.001420895,96.26986694,96.81980896,1999.013794,1999.013794,1999.013794,609.9403076,0,0,33.07500076,501.2966919,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.40711212,97.99129486,96269869.8,-0.027911169,1097.846802
35,2090.196533,571.8880615,609.2515869,609.277832,532.3490601,536.6765747,15909.2168,15889.46094,789.9016113,789.9013062,2113.132568,2113.046143,2068.548828,2067.7771,10815.40723,37.06396103,-8.39233E-07,424.9346008,0,1126.693115,528.7546387,61.7248497,390.8599854,3274.54541,225879.1094,225888.5938,1653.992432,1653.375244,65.23967743,65.24195099,96.36263275,0,0,642.203125,0,62.15407181,32.95153809,32.92529297,0,15.97273445,13.32060719,136.2912903,1.171566844,2.858688354,2.500254393,424.9346008,0,0,1600.000052,0,0,-0.115788117,0.04101304,0.073577017,-0.000313995,-0.001512053,95.72747803,96.31015778,1991.20813,1991.20813,1991.20813,609.2515869,0,0,33.07500076,578.0958862,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.30834961,97.99129486,95727473.5,-0.027766762,1092.109863
40,2066.094971,571.6537476,608.5986328,608.6207886,532.532959,536.8668823,15991.875,15961.26172,790.3966064,790.3966675,2103.739746,2103.627686,2056.747314,2056.75,10763.25,34.69318008,-3.8147E-07,421.5688782,0,1129.059326,528.9057007,61.97766876,390.8599854,3256.406494,226105.8281,226116.7188,1643.903687,1643.908936,65.29787445,65.29998016,95.83079529,0,0,640.5795898,0,61.63249969,31.98095703,31.95880127,0,16.16978455,13.36636066,138.3383331,1.195792556,2.882669687,2.802562237,421.5688782,0,0,1600.000052,0,0,-0.132217407,0.046908461,0.084104031,-0.000313995,-0.001518908,95.17519379,95.77666473,1983.082642,1983.082642,1983.082642,608.5986328,0,0,33.07500076,653.1409302,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.20916748,97.99129486,95175188.78,-0.029980766,1086.082397
45,2041.928101,571.4192505,607.9519043,607.9783325,532.7072144,537.0393066,16032.5957,16033.75781,790.8672485,790.8670044,2093.564697,2093.419189,2045.32312,2045.023193,10712.15723,32.37079239,2.05994E-06,418.1385803,0,1131.362427,529.1393433,62.22351074,390.8599854,3238.081055,226340.6719,226353.5469,1634.641113,1634.41687,65.35800171,65.35781097,95.29145813,0,0,638.892395,0,61.12157059,30.94049072,30.9140625,0,16.35068512,13.4083643,140.2175903,1.219612598,2.910135984,3.080054522,418.1385803,0,0,1600.000052,0,0,-0.148701489,0.0527917,0.094697006,-0.000313995,-0.001526773,94.64072418,95.23767853,1974.90625,1974.90625,1974.90625,607.9519043,0,0,33.07500076,726.5181274,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,99.10958099,97.99129486,94640725.85,-0.029387297,1079.969849
