TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WCMT,WRHR,QMWT,MSGA,MSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WACC,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,VCST,VRWS,WADS4,VCMT1,VCMT2,RDPOS,CPS,DPM,GENLD
0,2250.042236,573.5,611.4680786,611.4680786,535.5319214,535.5319214,15544.5,15544.5,788.5,788.5,2146.229248,2146.229248,2146.229248,2146.229248,11177,53.50000381,8.39233E-07,0,0,1113.602417,526.71698,0,0,3400,225000,225000,1708.5,1708.5,65,65,100,0,0,652.6446533,0,25.97857094,41.17657471,41.17657471,0,14.69999981,12.95647335,120,1,2.700000048,0.146408841,0,0,0,500,0,0,0.000352478,0,0,0,0.000352478,100,100,2048,2048,2048,611.4680786,0,0,13.22999954,1.099999785,2.199999571,3.299999952,4.399999142,5655.817383,3.088554859,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,98,100000000,52.11999893,1133.333374
5,1412.583374,571.3339844,608.4451294,608.4681396,527.1890869,541.6873169,17142.28125,16103.69238,841.3596191,841.121582,798.6270752,797.7404175,3.132518291,-3.132518291,10071.43164,3.246871471,-4.68254E-06,16476.49219,0,1174.194336,598.6351318,133.5058746,1027.128662,2619.286621,226269.0625,226281.4531,1315.962524,1304.332031,45.57337952,45.5198288,0,0,0,589.3363647,279.3789978,18.0816555,-19.10876465,-19.1317749,0,24.13286591,14.54120159,190.9005585,2.330891609,3.615473986,60.64348221,16476.49219,0,64.99956512,0,0,0,-0.003630829,0.05492676,0.548804641,-1.20266664,-0.602566063,5.851592064,77.0378418,1624.394287,1624.394287,1624.394287,608.4451294,0,0,33.07500076,3407.798828,2.237803936,3.299999952,4.399999142,5655.242188,3.08853054,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,13.22999954,1000,78900,0,100,100,64.66666412,356389122.7,-7.894837856,0
10,1308.837402,571.9918213,592.5740356,592.5828857,544.2745972,558.8303223,17182.75977,16501.29883,913.3916626,912.9579468,325.5133057,323.9623413,5.781177521,-5.781177521,8747.869141,0,12.5213089,12476.71582,0,1179.198364,610.3104248,149.6748047,996.2763672,171.4103241,229092.6094,229150.7188,473.8689575,463.9759216,47.04082108,46.94401932,0,0,0,579.7926636,270.9871826,8.627636909,-12.78137207,-12.79022217,0,29.47768784,14.99555779,211.2283783,2.965116262,55.87013626,79.43132782,12476.71582,0,64.998703,0,0,0.002236211,-0.05122513,0.038397044,1.464049578,-3.607999802,-2.156778336,4.701485634,5.041480064,1081.575684,655.1640625,917.944397,927.1090698,0,0,33.07500076,4711.472168,2.363790512,3.299999952,4.399999142,5653.32666,3.08844924,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,75676353.4,-2.630020618,0
15,1117.334717,566.4991455,578.199646,578.2030029,547.8241577,561.914917,11371.86621,11139.94141,941.8273315,941.5930786,0,0,4.926105022,-4.926105022,7505.982422,0,24.94017601,3590.553711,0,1187.427002,1187.427002,164.845993,985.9068604,160.084137,229586.1406,229696.9063,157.3996735,157.4731903,47.48720551,47.40028381,0,0,0,560.7736816,268.1666565,-0.2429827,-17.42596436,-17.42932129,0,34.31808853,15.3089695,225.2502747,3.298426151,51.49942398,92.58376312,3590.553711,0,64.99784088,0,0,0.008237024,-0.104228973,0.172392845,1.789297581,-3.607999802,-1.750538349,4.372641563,4.708356857,1077.028442,666.8953247,666.8953247,954.862793,0,0,33.07500076,5508.642578,2.489732504,3.299999952,4.399999142,5651.412598,3.088367462,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,51991879.38,-1.6081177,0
20,920.1340332,550.5093384,558.0332642,558.0346069,536.6824341,549.4139404,6159.217773,6037.58252,954.6574707,954.6541748,0,0,0.130458236,-0.130458236,6941.131348,0,30.58868599,2924.09668,0,1195.15271,1195.15271,171.7463379,951.7055054,152.5961151,229578.9688,229704.0781,67.4001236,67.31233215,47.56015778,47.58579254,0,0,0,536.7006836,258.8638916,-4.27763319,-21.33258057,-21.33392334,0,37.66488647,15.4721756,232.5520935,3.324081182,45.52803421,99.12691498,2924.09668,0,64.99697876,0,0,0.014925743,-0.157675326,0.512300253,1.775094867,-3.607999802,-1.478280067,4.134899139,4.488121033,1072.314209,677.8579712,677.8579712,975.5166016,0,0,33.07500076,5853.793457,2.61563158,3.299999952,4.399999142,5649.499023,3.088285923,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,40276760.05,-1.188405633,0
25,774.9486084,532.0536499,536.9192505,536.9198608,521.5244751,532.9586792,3417.961914,3354.167969,957.0164795,957.0163574,0,0,0.009635814,-0.009635814,6518.499023,0,34.81501007,2442.258789,0,1199.721558,1199.721558,176.9093018,910.4190674,147.151062,229578.7344,229704.3125,-0.002542581,-0.00253764,47.58778381,47.61652374,0,0,0,516.2105103,247.6339874,-7.296435356,-20.70874023,-20.70935059,0,40.27857208,15.59963608,238.2544403,3.342331886,43.29585648,104.333252,2442.258789,0,64.99611664,0,0,0.02231401,-0.211150363,0.818300843,1.761697292,-3.607999802,-1.239152074,3.952338934,4.327972412,1067.320435,688.1991577,688.1991577,993.5437012,0,0,33.07500076,6154.537109,2.741488457,3.299999952,4.399999142,5647.586914,3.088204861,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,32861514.74,-0.995003998,0
30,657.5728149,516.0048218,519.4075928,519.5794067,507.3110352,517.812439,1974.34436,1940.886841,957.015564,957.015564,0,0,0,0,6205.789063,0,37.94210815,2040.924805,0,1202.48999,1202.48999,180.7294464,873.4633179,143.1498718,229578.7344,229704.3125,-0.009694017,-0.009669077,47.58758545,47.61672211,0,0,0,497.6697693,237.582016,-9.530077934,-21.73782349,-21.90963745,0,43.11074066,15.73774624,244.4334717,3.361653805,43.42898178,109.6774979,2040.924805,0,64.99525452,0,0,0.030401619,-0.311830431,1.016381979,1.750231504,-3.607999802,-1.153216839,3.808988094,4.210290432,1061.994629,697.0492554,697.0492554,1011.690063,581.3208618,0,33.07500076,6417.716797,2.867300987,3.299999952,4.399999142,5645.675293,3.088123322,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,27525450.95,-0.888259947,0
35,554.1264038,503.53302,506.3300171,506.5965271,495.7602539,505.5183105,1213.954956,1196.408081,957.0140991,957.0140991,0,0,0,0,6016.069336,0,39.83930588,1698.73999,0,1204.151367,1204.151367,183.0471039,844.9719849,139.3044434,229578.7344,229704.3125,-0.01405711,-0.014014889,47.58756638,47.61669922,0,0,0,477.3085632,229.8323822,-10.88521862,-29.02145386,-29.28796387,0,45.31906128,15.845438,249.2514343,3.377302885,45.94262314,114.0438004,1698.73999,0,64.9943924,0,0,0.038811062,-0.573079526,1.13091898,1.746913791,-3.607999802,-1.303246617,3.693971872,4.097189426,1056.479858,699.6101074,699.6101074,1030.764526,793.6157837,0,33.07500076,6643.516113,2.993071079,3.299999952,4.399999142,5643.765625,3.088042021,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,23417162.92,-0.821773112,0
40,467.8760071,493.2972107,495.7545776,496.0657654,486.1389465,495.2833557,813.7981567,804.5955811,957.0122681,957.0122681,0,0,0,0,5872.075195,0,41.27924728,1433.682861,0,1204.852905,1204.852905,184.8061676,821.463501,135.912262,229578.7344,229704.3125,-0.016672663,-0.016622804,47.58754349,47.61667633,0,0,0,460.2855225,223.4380798,-11.91374874,-35.46905518,-35.78024292,0,46.9535675,15.9081831,252.0584869,3.390164614,50.08555222,116.6740952,1433.682861,0,64.99352264,0,0,0.047219865,-0.862256169,1.201493621,1.74596858,-3.607999802,-1.52279377,3.599546432,3.997419357,1051.001709,700.3395996,700.3395996,1050.258911,878.8413086,0,33.07500076,6838.055664,3.118797541,3.299999952,4.399999142,5641.856445,3.087960482,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,20123538.7,-0.777527034,0
45,397.8078918,484.7519226,486.9842529,487.3095093,478.0625,486.6873779,603.5076294,598.6812134,957.0102539,957.0102539,0,0,0,0,5790.919434,0,42.09080505,1217.60791,0,1204.414307,1204.414307,185.7975769,801.8822632,132.9196167,229578.7344,229704.3125,-0.018249607,-0.018203884,47.58754349,47.61667633,0,0,0,445.2208557,218.111969,-12.493433,-41.76339722,-42.08865356,0,48.20040894,15.95260048,254.0459595,3.401900291,55.28409576,118.4653015,1217.60791,0,64.99266052,0,0,0.055516805,-1.159248352,1.245524168,1.746341228,-3.607999802,-1.775382757,3.52017498,3.909400702,1045.624268,700.052063,700.052063,1070.018555,923.083313,0,33.07500076,7006.125977,3.244480848,3.299999952,4.399999142,5639.948242,3.087879419,0,0,1.95518E-05,0,0,0.002405913,5.79167E-05,0,0,0,1000,78900,0,100,100,0,17412464.58,-0.746624589,0
